srch_id,item_id,item_title,item_add1,item_add2
141,2225655,Burrito Kitchens Enterprises,505  Weaver Park Rd,"Longmont, CO 80501"
142,2225713,Burritos and More,127 S Richardson Ave,"Roswell, NM 88203"
143,2274859,C & L Country Cafe,112 N Central Ave,"Cut Bank, MT 59427"
144,2296678,C J's Pizza & Restaurant,4 S Main St,"Yale, MI 48097"
145,2324678,Cafe Boulud,20 E 76th St,"New York, NY 10021"
146,2327340,Cafe On The Corner,478  Central Ave,"Dover, NH 03820"
147,2328904,Caffe Chocolat LLC,304 S Washington Ave,"Titusville, FL 32796"
148,2333265,Cajun Catch Seafood Market & Deli,814 W Orice Roth Rd,"Gonzales, LA 70737"
149,2353009,California Mexican Grill,11106 W Olympic Blvd,"Los Angeles, CA 90064"
150,2398676,Campiello,6411  City West Pkwy,"Eden Prairie, MN 55344"
151,2407231,Gringo Jack's,5103 Main St,"Manchester Center, VT 05255"
152,2419343,Canton Express,102  Bangor St,"Augusta, ME 04330"
153,2443047,Capn Joe's Seafood Market,611  Jefferson St,"Dublin, GA 31021"
154,2444553,Cappuccino On Collins,105  Collins Ave,"Mandan, ND 58554"
155,2444703,Cappy's Restaurant,5011  Broadway St,"San Antonio, TX 78209"
156,2448132,Captain D's Seafood Restaurants,1067  By Pass 123,"Seneca, SC 29678"
157,2448136,Captain D's Seafood Restaurants,1951  Veterans Blvd,"Dublin, GA 31021"
158,2448205,Captain D's Seafood Restaurants,407  Main St,"Trussville, AL"
159,2448258,Captain D's Seafood Restaurants,1116  Dr M L K Jr Expy,"Andalusia, AL"
160,2448499,Captain D's Seafood Restaurants,2547  Airport Thruway,"Columbus, GA 31904"
161,2448510,Captain D's Seafood Restaurants,1212  Manchester Expy,"Columbus, GA 31904"
162,2448533,Captain D's Seafood Restaurants,235 W Woodrow Wilson Ave,"Jackson, MS"
163,2448584,Captain Eddie's Family Seafood Restauran,107  Colonia Ln,"Nokomis, FL 34275"
164,2448870,Captain Joe's Crab House,617 S Marlyn Ave,"Essex, MD 21221"
165,2448919,Capt John's Seafood House On The Waterfr,9887  Oak St,"Calabash, NC 28467"
166,2455828,Caradaro Club,1417 S 70th St,"Milwaukee, WI 53214"
167,2495893,Fiesta Mexican Restaurant,34  Bedford St,"East Bridgewater, MA 02333"
168,2496948,Carmine's Steak House,20 S 4th St,"Saint Louis, MO 63102"
169,2497088,Carmody's,421  Main St,"Bennington, VT 05201"
170,2504898,Carolina Fine Foods,100  Hawkins Rd,"Travelers Rest, SC 29690"
171,2526889,Carrabba's Italian Grill,25054 Sperry Rd,"Westlake, OH 44145"
172,2526999,Carrabba's Italian Grill,3441 Century Center St SW,"Grandville, MI 49418"
173,2552371,Azteca Mexican Restaurant,501 W Us Highway 50,"O Fallon, IL 62269"
174,2554093,Casa Del Rio,408 E Main St,"Waukesha, WI 53186"
175,2565380,Casey's Carry Out Pizza,1207  State St,"Tama, IA 52339"
176,2565804,Casey's General Store,101 N Mcgee St,"Caney, KS 67333"
177,2566479,Casey's General Store,1206  Burlington St,"Holdrege, NE"
178,2567404,Casey's General Store,315  Grummon St,"Paw Paw, IL 61353"
179,2587515,Casual Chef Cafe,16090  Red Arrow Hwy,"Union Pier, MI 49129"
180,2595493,Cateye Cafe,23 N Tracy Ave,"Bozeman, MT 59715"
181,2606139,Cattle-Ac Nite Club Steakhouse & Casino,119 N Central Ave,"Sidney, MT 59270"
182,2732268,Bluemound Restaurant Corp/Champps,1240 S Moorland Rd,"Brookfield, WI 53005"
183,2737377,Chang An Kitchen LLC,685 SE Main St,"Simpsonville, SC 29681"
